timestamp,asset,price,position,peakPrice,trailLevel,equity,unrealizedPnL,realizedPnL,event,tradeReturn,cumFees
2026-04-04T08:00:00.000Z,BTC,66940.0000,LONG,66940.0000,56899.0000,10000.00,0.00,0.00,ENTRY,,0.00
2026-04-04T08:00:00.000Z,ETH,2050.5700,LONG,2050.5700,1742.9845,10000.00,0.00,0.00,ENTRY,,0.00
2026-04-04T09:00:00.000Z,BTC,66988.0500,LONG,66988.0500,56939.8425,10007.18,7.18,0.00,HOLD,,0.00
2026-04-04T09:00:00.000Z,ETH,2050.4300,LONG,2050.5700,1742.9845,9999.32,-0.68,0.00,HOLD,,0.00
2026-04-04T10:00:00.000Z,BTC,67167.0000,LONG,67167.0000,57091.9500,10033.91,33.91,0.00,HOLD,,0.00
2026-04-04T10:00:00.000Z,ETH,2054.3200,LONG,2054.3200,1746.1720,10018.29,18.29,0.00,HOLD,,0.00
2026-04-04T11:00:00.000Z,BTC,67156.9300,LONG,67167.0000,57091.9500,10032.41,32.41,0.00,HOLD,,0.00
2026-04-04T11:00:00.000Z,ETH,2051.8400,LONG,2054.3200,1746.1720,10006.19,6.19,0.00,HOLD,,0.00
2026-04-04T12:00:00.000Z,BTC,67097.8700,LONG,67167.0000,57091.9500,10023.58,23.58,0.00,HOLD,,0.00
2026-04-04T12:00:00.000Z,ETH,2050.1500,LONG,2054.3200,1746.1720,9997.95,-2.05,0.00,HOLD,,0.00
2026-04-04T13:00:00.000Z,BTC,67193.4400,LONG,67193.4400,57114.4240,10037.86,37.86,0.00,HOLD,,0.00
2026-04-04T13:00:00.000Z,ETH,2053.5900,LONG,2054.3200,1746.1720,10014.73,14.73,0.00,HOLD,,0.00
2026-04-04T14:00:00.000Z,BTC,67215.2400,LONG,67215.2400,57132.9540,10041.12,41.12,0.00,HOLD,,0.00
2026-04-04T14:00:00.000Z,ETH,2053.1000,LONG,2054.3200,1746.1720,10012.34,12.34,0.00,HOLD,,0.00
2026-04-04T15:00:00.000Z,BTC,67383.6600,LONG,67383.6600,57276.1110,10066.28,66.28,0.00,HOLD,,0.00
2026-04-04T15:00:00.000Z,ETH,2056.2900,LONG,2056.2900,1747.8465,10027.89,27.89,0.00,HOLD,,0.00
