timestamp_ms,price,size,side,is_buyer_maker,event_flags
3924405825,2288.21000000,0.05000000,SELL,true,
3924405826,2288.21000000,0.05000000,SELL,true,
3924405827,2288.22000000,0.00450000,BUY,false,
3924405828,2288.21000000,0.06000000,SELL,true,
3924405829,2288.22000000,0.12810000,BUY,false,
3924405830,2288.21000000,0.09390000,SELL,true,
3924405831,2288.22000000,0.02100000,BUY,false,
3924405832,2288.21000000,0.06000000,SELL,true,
3924405833,2288.22000000,0.01260000,BUY,false,
3924405834,2288.21000000,0.01310000,SELL,true,
3924405835,2288.22000000,0.00440000,BUY,false,
3924405836,2288.22000000,0.00350000,BUY,false,
3924405837,2288.22000000,0.01320000,BUY,false,
3924405838,2288.22000000,0.00440000,BUY,false,
3924405839,2288.21000000,0.48410000,SELL,true,LARGE
3924405840,2288.21000000,4.78280000,SELL,true,LARGE
3924405841,2288.21000000,0.00450000,SELL,true,
3924405842,2288.21000000,0.00450000,SELL,true,
3924405843,2288.21000000,0.00220000,SELL,true,
3924405844,2288.21000000,0.00220000,SELL,true,
3924405845,2288.21000000,0.00220000,SELL,true,
3924405846,2288.21000000,0.00220000,SELL,true,
3924405847,2288.21000000,0.00220000,SELL,true,
3924405848,2288.21000000,0.00240000,SELL,true,
3924405849,2288.21000000,0.03700000,SELL,true,
3924405850,2288.21000000,2.89990000,SELL,true,LARGE
3924405851,2288.21000000,0.00450000,SELL,true,
3924405852,2288.21000000,2.22750000,SELL,true,LARGE
3924405853,2288.21000000,5.51210000,SELL,true,LARGE
3924405854,2288.21000000,3.51950000,SELL,true,LARGE
3924405855,2288.21000000,0.00450000,SELL,true,
3924405856,2288.21000000,0.00450000,SELL,true,
3924405857,2288.21000000,0.00450000,SELL,true,
3924405858,2288.21000000,2.23160000,SELL,true,LARGE
3924405859,2288.21000000,0.02470000,SELL,true,
3924405860,2288.21000000,0.11050000,SELL,true,
3924405861,2288.21000000,2.44610000,SELL,true,LARGE
3924405862,2288.21000000,1.16790000,SELL,true,
3924405863,2288.21000000,0.00380000,SELL,true,
3924405864,2288.22000000,0.00450000,BUY,false,
3924405865,2288.22000000,0.00240000,BUY,false,
3924405866,2288.22000000,0.00450000,BUY,false,
3924405867,2288.22000000,0.00450000,BUY,false,
3924405868,2288.22000000,0.02810000,BUY,false,
3924405869,2288.22000000,0.14690000,BUY,false,
3924405870,2288.22000000,0.00450000,BUY,false,
3924405871,2288.22000000,0.12980000,BUY,false,
3924405872,2288.22000000,0.29470000,BUY,false,
3924405873,2288.22000000,0.33920000,BUY,false,
3924405874,2288.22000000,0.15850000,BUY,false,
3924405875,2288.22000000,0.00220000,BUY,false,
3924405876,2288.22000000,0.00220000,BUY,false,
3924405877,2288.22000000,0.11430000,BUY,false,
3924405878,2288.22000000,0.02510000,BUY,false,
3924405879,2288.22000000,0.00260000,BUY,false,
3924405880,2288.22000000,0.00390000,BUY,false,
3924405881,2288.22000000,0.02040000,BUY,false,
3924405882,2288.22000000,0.00230000,BUY,false,
3924405883,2288.22000000,0.00230000,BUY,false,
3924405884,2288.22000000,0.00240000,BUY,false,
3924405885,2288.22000000,0.00450000,BUY,false,
3924405886,2288.22000000,0.00220000,BUY,false,
3924405887,2288.22000000,0.00220000,BUY,false,
3924405888,2288.22000000,0.13940000,BUY,false,
3924405889,2288.22000000,0.00220000,BUY,false,
3924405890,2288.22000000,0.00220000,BUY,false,
3924405891,2288.22000000,0.09040000,BUY,false,
3924405892,2288.22000000,0.00220000,BUY,false,
3924405893,2288.22000000,0.00220000,BUY,false,
3924405894,2288.22000000,0.00220000,BUY,false,
3924405895,2288.22000000,0.00220000,BUY,false,
3924405896,2288.23000000,0.00220000,BUY,false,
3924405897,2288.23000000,0.00240000,BUY,false,
3924405898,2288.23000000,0.00230000,BUY,false,
3924405899,2288.23000000,0.00230000,BUY,false,
3924405900,2288.23000000,0.00230000,BUY,false,
3924405901,2288.23000000,0.00230000,BUY,false,
3924405902,2288.23000000,0.00450000,BUY,false,
3924405903,2288.23000000,0.00220000,BUY,false,
